r,c,S
0.93,1.797,0.643
0.93,1.797,0.639
0.93,1.9,0.542
0.93,1.9,0.541
0.93,1.9,0.54
0.93,1.9,0.538
0.93,1.9,0.529
0.93,1.9,0.533
0.93,1.996,0.44
0.93,1.996,0.444
0.93,1.996,0.444
0.93,1.996,0.44
0.93,1.996,0.437
0.93,1.996,0.44
0.93,1.996,0.445
0.141,0.201,1.28
0.141,0.201,1.269
0.141,0.201,1.296
0.141,0.201,1.26
0.141,0.201,1.237
0.141,0.201,1.289
0.141,0.201,1.271
0.141,0.201,1.267
0.14,0.251,1.41
0.14,0.251,1.411
0.14,0.251,1.413
0.14,0.251,1.479
0.14,0.301,1.573
0.14,0.301,1.517
0.14,0.301,1.537
0.14,0.301,1.497
0.14,0.4,1.694
0.14,0.4,1.646
0.14,0.4,1.729
0.14,0.4,1.634
0.14,0.4,1.705
0.14,1.701,0.687
0.14,1.701,0.88
0.14,1.701,0.951
0.14,1.701,0.806
0.14,1.701,0.947
0.14,1.701,0.945
0.14,1.799,0.902
0.14,1.799,0.96
0.14,1.799,0.876
0.14,1.799,0.767
0.14,1.799,0.716
0.14,1.799,0.935
0.14,1.799,0.995
0.14,1.898,0.711
0.14,1.898,0.402
0.14,1.898,0.65
0.142,1.996,0.705
0.142,1.996,0.763
0.142,1.996,0.764
0.142,1.996,0.724
0.142,1.996,0.856
0.142,1.996,0.778
0.142,1.996,0.723
0.6,0.202,1.199
0.6,0.202,1.229
0.6,0.202,1.196
0.6,0.202,1.208
0.6,0.202,1.268
0.6,0.202,1.226
0.6,0.202,1.198
0.6,0.202,1.207
0.6,0.251,1.367
0.6,0.251,1.364
0.6,0.251,1.391
0.6,0.251,1.395
0.6,0.251,1.363
0.6,0.251,1.36
0.6,0.251,1.354
0.6,0.251,1.356
0.601,0.302,1.581
0.601,0.302,1.524
0.601,0.302,1.466
0.601,0.302,1.442
0.601,0.302,1.455
0.598,0.4,1.647
0.598,0.4,1.697
0.598,0.4,1.641
0.598,0.4,1.657
0.598,0.4,1.645
0.598,0.4,1.641
